simulation,resource_state,gamma_label,gamma,rho,h,p_future,net_mrg
optimal_curiosity_curve,enriched,low,0.18,0.0,0.0,0.05,0.003749999999999999
optimal_curiosity_curve,enriched,low,0.18,0.0,1.0,0.05,0.002267431902701447
optimal_curiosity_curve,enriched,low,0.18,0.0,2.0,0.05,0.0010290869346392785
optimal_curiosity_curve,enriched,low,0.18,0.0,3.0,0.05,-5.26572863409399e-06
optimal_curiosity_curve,enriched,low,0.18,0.0,4.0,0.05,-0.0008692296963602559
optimal_curiosity_curve,enriched,low,0.18,0.0,5.0,0.05,-0.001590873062334608
optimal_curiosity_curve,enriched,low,0.18,0.0,6.0,0.05,-0.0021936402691955484
optimal_curiosity_curve,enriched,low,0.18,0.0,7.0,0.05,-0.002697113761502067
optimal_curiosity_curve,enriched,low,0.18,0.0,8.0,0.05,-0.0031176501718609044
optimal_curiosity_curve,enriched,low,0.18,0.0,9.0,0.05,-0.0034689117082474684
optimal_curiosity_curve,enriched,low,0.18,0.0,10.0,0.05,-0.0037623100060057216
optimal_curiosity_curve,enriched,low,0.18,0.0,11.0,0.05,-0.004007376864201965
optimal_curiosity_curve,enriched,low,0.18,0.0,12.0,0.05,-0.004212073910657438
optimal_curiosity_curve,enriched,low,0.18,0.0,13.0,0.05,-0.004383051255925563
optimal_curiosity_curve,enriched,low,0.18,0.0,14.0,0.05,-0.004525863539254209
optimal_curiosity_curve,enriched,low,0.18,0.0,15.0,0.05,-0.004645150385342252
optimal_curiosity_curve,enriched,low,0.18,0.25,0.0,0.038125000000000006,0.0016125000000000002
optimal_curiosity_curve,enriched,low,0.18,0.25,1.0,0.044207317073170736,0.0013965099139738408
optimal_curiosity_curve,enriched,low,0.18,0.25,2.0,0.05,0.0010290869346392785
optimal_curiosity_curve,enriched,low,0.18,0.25,3.0,0.055523255813953495,0.0005740944525051634
optimal_curiosity_curve,enriched,low,0.18,0.25,4.0,0.06079545454545455,7.661843738014477e-05
optimal_curiosity_curve,enriched,low,0.18,0.25,5.0,0.06583333333333334,-0.0004321495320738994
optimal_curiosity_curve,enriched,low,0.18,0.25,6.0,0.07065217391304349,-0.0009312308151676217
optimal_curiosity_curve,enriched,low,0.18,0.25,7.0,0.07526595744680852,-0.0014070914601334301
optimal_curiosity_curve,enriched,low,0.18,0.25,8.0,0.0796875,-0.0018515674614033167
optimal_curiosity_curve,enriched,low,0.18,0.25,9.0,0.08392857142857144,-0.002260316081701107
optimal_curiosity_curve,enriched,low,0.18,0.25,10.0,0.088,-0.0026316656105700694
optimal_curiosity_curve,enriched,low,0.18,0.25,11.0,0.09191176470588236,-0.002965766294488906
optimal_curiosity_curve,enriched,low,0.18,0.25,12.0,0.09567307692307693,-0.003263968348277212
