objective,sigma,E,flow,stock,stock_share,avg_objective_value,combined_flow_stock
learning_progress,0.0,0.0,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.16666666666666666,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.3333333333333333,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.5,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.6666666666666666,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.8333333333333333,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,1.0,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.16666666666666666,0.0,0.8972120795093379,1.176,0.2352,0.6217373548925341,0.566206039754669
learning_progress,0.16666666666666666,0.16666666666666666,0.9025940674004548,1.2186666666666666,0.2437333333333333,0.6243408232846733,0.573163700366894
learning_progress,0.16666666666666666,0.3333333333333333,0.9014718173990766,1.192,0.2384,0.6250297651363702,0.5699359086995383
learning_progress,0.16666666666666666,0.5,0.9123896142525605,1.3453333333333333,0.2690666666666667,0.6278724695821657,0.5907281404596136
learning_progress,0.16666666666666666,0.6666666666666666,0.9155045617775729,1.474,0.2948,0.6267643706508225,0.6051522808887865
learning_progress,0.16666666666666666,0.8333333333333333,0.9258347856129103,1.624,0.32480000000000003,0.6316372059967775,0.6253173928064552
learning_progress,0.16666666666666666,1.0,0.9528213549575834,2.0366666666666666,0.4073333333333333,0.6414079449501114,0.6800773441454584
learning_progress,0.3333333333333333,0.0,0.7913875944778583,1.338,0.2676,0.5429637423188378,0.5294937972389292
learning_progress,0.3333333333333333,0.16666666666666666,0.7929018244083746,1.422,0.2844,0.5409141622915287,0.5386509122041874
learning_progress,0.3333333333333333,0.3333333333333333,0.7972204950657193,1.4533333333333334,0.2906666666666667,0.5445922123326162,0.543943580866193
learning_progress,0.3333333333333333,0.5,0.8108724273203215,1.734,0.3468,0.5454214108295216,0.5788362136601608
learning_progress,0.3333333333333333,0.6666666666666666,0.8310080283302642,1.978,0.3956,0.5528701948551075,0.6133040141651321
learning_progress,0.3333333333333333,0.8333333333333333,0.8508940838107855,2.25,0.45,0.5631103565717172,0.6504470419053927
learning_progress,0.3333333333333333,1.0,0.9003822010042432,2.9306666666666668,0.5861333333333334,0.5829565975412125,0.7432577671687883
learning_progress,0.5,0.0,0.6623873208195132,1.5066666666666666,0.30133333333333334,0.44779628331938237,0.4818603270764233
