k,budget_level,cost_profile,algorithm,arm_regime,n_sims,ecological_richness_mean,ecological_richness_sd,feasible_richness_mean,feasible_richness_sd,experienced_richness_mean,experienced_richness_sd,unexplored_options_mean,unexplored_options_sd,unaffordable_options_mean,unaffordable_options_sd,conversion_feasible_ecological_mean,conversion_feasible_ecological_sd,conversion_experienced_feasible_mean,conversion_experienced_feasible_sd,conversion_experienced_ecological_mean,conversion_experienced_ecological_sd,choice_entropy_mean,choice_entropy_sd,entropy_over_feasible_max_mean,entropy_over_feasible_max_sd,entropy_over_ecological_max_mean,entropy_over_ecological_max_sd,explore_prop_mean,explore_prop_sd,switching_rate_mean,switching_rate_sd,top_arm_concentration_mean,top_arm_concentration_sd,avg_reward_mean,avg_reward_sd,avg_feasible_time_cost_mean,avg_feasible_time_cost_sd,avg_feasible_money_cost_mean,avg_feasible_money_cost_sd,early_discovery_rate_mean,early_discovery_rate_sd,middle_discovery_rate_mean,middle_discovery_rate_sd,late_discovery_rate_mean,late_discovery_rate_sd,novelty_decay_mean,novelty_decay_sd
10,generous,high,egreedy_0.1,fixed,30,10.0,0.0,9.0,1.0327955589886446,9.0,1.0327955589886446,1.0,1.0327955589886446,1.0,1.0327955589886446,0.9,0.10327955589886445,1.0,0.0,0.9,0.10327955589886445,0.2572741432538084,0.03838307302513424,0.11692166301714266,0.012319736236115666,0.11173274075151568,0.016669556813305356,0.045,0.0051639777949432225,0.076214405360134,0.011611073249998908,0.9586666666666667,0.006699917080747266,0.903,0.016000000000000014,0.47018108709446926,0.05717145860253078,0.46781960808691225,0.06410426748125028,0.11133333333333334,0.030847294136691402,0.02666666666666667,0.02796823595120404,0.0,0.0,0.11133333333333334,0.030847294136691402
10,generous,high,egreedy_0.1,flowing,30,10.0,0.0,9.4,0.8,9.4,0.8,0.6,0.8,0.6,0.8,0.9400000000000001,0.07999999999999999,1.0,0.0,0.9400000000000001,0.07999999999999999,0.2725455836108876,0.02599719777619636,0.12173576305475683,0.009508279192073223,0.11836504302930982,0.011290439539149568,0.047,0.004000000000000001,0.08006700167504188,0.00907619241818698,0.956,0.005228129047119364,0.8963333333333333,0.019913702708325147,0.46386253226684826,0.07306361200290687,0.46394083780812434,0.06364135105118798,0.12266666666666667,0.03530187278632994,0.024666666666666667,0.028134597128012258,0.0,0.0,0.12266666666666667,0.03530187278632994
10,generous,high,egreedy_0.5,fixed,30,10.0,0.0,9.3,0.7371114795831993,9.3,0.7371114795831993,0.7,0.7371114795831993,0.7,0.7371114795831993,0.93,0.07371114795831993,1.0,0.0,0.93,0.07371114795831993,0.27548041779754256,0.038386873106647616,0.12365777692576942,0.016978428901308924,0.1196396253218751,0.016671207167737394,0.0465,0.003685557397915998,0.06365159128978225,0.008541071212048215,0.9551666666666666,0.008314979788844266,0.8985,0.023027157879338907,0.46871548024113774,0.05863746462946808,0.47097825770062673,0.05630652490578357,0.186,0.014742229591663991,0.0,0.0,0.0,0.0,0.186,0.014742229591663991
10,generous,high,egreedy_0.5,flowing,30,10.0,0.0,8.933333333333334,1.2892719737209144,8.933333333333334,1.2892719737209144,1.0666666666666667,1.2892719737209144,1.0666666666666667,1.2892719737209144,0.8933333333333333,0.12892719737209143,1.0,0.0,0.8933333333333333,0.12892719737209143,0.26359808702110554,0.059348669373566934,0.12006813042105331,0.022045461097926378,0.11447919463351931,0.02577479961724064,0.04466666666666667,0.006446359868604572,0.07102177554438861,0.013150945679323631,0.9568333333333333,0.01214381415463123,0.8938333333333334,0.017449132420330322,0.4587352204952117,0.07686137708987911,0.4556749521974249,0.0770586568793744,0.16733333333333333,0.03325991915537713,0.0026666666666666666,0.008537498983243798,0.0,0.0,0.16733333333333333,0.03325991915537713
10,generous,high,thompson,fixed,30,10.0,0.0,9.1,0.9433981132056604,9.1,0.9433981132056604,0.9,0.9433981132056604,0.9,0.9433981132056604,0.91,0.09433981132056603,1.0,0.0,0.91,0.09433981132056603,1.808559514419159,0.1530949731363583,0.8212007227721996,0.057871197018733986,0.7854474173058653,0.06648830204024699,0.0455,0.004716990566028302,0.7244556113902848,0.0585318691235289,0.33516666666666667,0.0723818961404638,0.9023333333333333,0.01725945795466617,0.4659769068526569,0.053436514180232556,0.4585726567206299,0.050809245435255355,0.16333333333333333,0.024810392087904524,0.008666666666666666,0.012310790208412926,0.0026666666666666666,0.00679869268479038,0.16066666666666668,0.027560035478125848
10,generous,high,thompson,flowing,30,10.0,0.0,8.666666666666666,0.9067647005823629,8.666666666666666,0.9067647005823629,1.3333333333333333,0.9067647005823629,1.3333333333333333,0.9067647005823629,0.8666666666666667,0.09067647005823629,1.0,0.0,0.8666666666666667,0.09067647005823629,1.7732735407794884,0.1943510483707242,0.8220499489912633,0.06696271620664837,0.7701229136655727,0.08440558785951749,0.043333333333333335,0.004533823502911814,0.6896147403685092,0.09251039581889092,0.3323333333333333,0.09531293488061081,0.899,0.025573423705088853,0.46369981337543315,0.057291823436329,0.46264014837049966,0.058062671845825295,0.138,0.02937118769588092,0.01,0.012382783747337808,0.0,0.0,0.138,0.02937118769588092
10,generous,high,ucb,fixed,30,10.0,0.0,8.9,0.9433981132056604,8.9,0.9433981132056604,1.1,0.9433981132056604,1.1,0.9433981132056604,0.89,0.09433981132056604,1.0,0.0,0.89,0.09433981132056604,2.1662492970588323,0.10648720980777403,0.9937007641349761,0.0032995834093939094,0.9407901161394491,0.0462468076127901,0.0445,0.004716990566028302,0.9958123953098827,0.00412005824999962,0.139,0.012609520212918491,0.9018333333333334,0.017534885862822796,0.483252442212198,0.04612690880620685,0.4875557644173625,0.052082602602291674,0.178,0.01886796226411321,0.0,0.0,0.0,0.0,0.178,0.01886796226411321
10,generous,high,ucb,flowing,30,10.0,0.0,9.1,0.8306623862918074,9.1,0.8306623862918074,0.9,0.8306623862918074,0.9,0.8306623862918074,0.91,0.08306623862918074,1.0,0.0,0.91,0.08306623862918074,2.1889656181682637,0.09427650431712983,0.9932065585832435,0.002456072608382902,0.9506556890464173,0.040943765598057576,0.0455,0.004153311931459038,0.9504187604690117,0.02521703084295988,0.13833333333333334,0.015184055965240497,0.8968333333333334,0.020391310785615416,0.48839853824056945,0.047292294123839375,0.489444892167756,0.04923001110411914,0.17333333333333334,0.021499353995462798,0.0,0.0,0.0,0.0,0.17333333333333334,0.021499353995462798
10,generous,low,egreedy_0.1,fixed,30,10.0,0.0,9.966666666666667,0.17950549357115014,9.966666666666667,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.9966666666666667,0.01795054935711501,1.0,0.0,0.9966666666666667,0.01795054935711501,0.2965837279972139,0.03469801578207176,0.12897899798084303,0.014868664346478266,0.12880467649148494,0.015069156787145708,0.049833333333333334,0.0008975274678557515,0.08475711892797319,0.006186326737895944,0.9518333333333333,0.00758104361036275,0.8988333333333334,0.023369614649987054,0.24514301802759492,0.04453643140908799,0.24830639982982688,0.046044790102244874,0.13466666666666666,0.04030991055421593,0.02266666666666667,0.02768071932270226,0.0006666666666666666,0.003590109871423003,0.134,0.04071035904205873
10,generous,low,egreedy_0.1,flowing,30,10.0,0.0,9.966666666666667,0.17950549357115014,9.966666666666667,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.9966666666666667,0.01795054935711501,1.0,0.0,0.9966666666666667,0.01795054935711501,0.3036491514149757,0.07860325250570438,0.13204747238348702,0.034033216844598896,0.13187315089412893,0.03413695882287536,0.049833333333333334,0.0008975274678557515,0.08475711892797319,0.005146496313479804,0.9488333333333333,0.023582597161654794,0.8986666666666667,0.018660713336371225,0.24972254642946473,0.04534548289758185,0.25157405639086994,0.042277803373738564,0.10533333333333333,0.03612324582438418,0.04733333333333333,0.0320347034046239,0.0006666666666666666,0.003590109871423003,0.10466666666666667,0.036030850978324425
10,generous,low,egreedy_0.5,fixed,30,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.306692721290829,0.06095286928920952,0.13319495649649898,0.02647149478847387,0.13319495649649898,0.02647149478847387,0.05,0.0,0.07018425460636515,0.005425170767404234,0.9493333333333333,0.014985177861992672,0.8966666666666667,0.023676054476106365,0.24489533832281035,0.039287753786215206,0.24320766878451697,0.03778837876381875,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10,generous,low,egreedy_0.5,flowing,30,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2957523082792042,0.027253210704786514,0.12844359549580778,0.01183591902323541,0.12844359549580778,0.01183591902323541,0.05,0.0,0.07654941373534338,0.0056082643359407726,0.952,0.006271629240742242,0.9048333333333334,0.014746939418815778,0.24784843808981472,0.039528223150284765,0.24723465487352503,0.038345428314870526,0.192,0.015143755588800732,0.0,0.0,0.0,0.0,0.192,0.015143755588800732
10,generous,low,thompson,fixed,30,10.0,0.0,9.966666666666667,0.17950549357115014,9.966666666666667,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.03333333333333333,0.17950549357115014,0.9966666666666667,0.01795054935711501,1.0,0.0,0.9966666666666667,0.01795054935711501,1.8991144941408251,0.18617992683903486,0.8261964370560101,0.08234053434152322,0.8247749453078457,0.08085691486734398,0.049833333333333334,0.0008975274678557515,0.7536013400335009,0.06113994629998762,0.2861666666666667,0.08655136560961293,0.8975,0.021203380233664023,0.2611507640227742,0.043510749110016005,0.2619531790060363,0.04933746391610973,0.184,0.014966629547095768,0.006666666666666667,0.009428090415820633,0.0013333333333333333,0.004988876515698589,0.18266666666666667,0.01691810338726603
