condition,algorithm,example,ecology,constraint,k,time_budget,money_budget,n_sims,ecological_richness_mean,ecological_richness_sd,feasible_richness_mean,feasible_richness_sd,experienced_richness_mean,experienced_richness_sd,unexplored_options_mean,unexplored_options_sd,unaffordable_options_mean,unaffordable_options_sd,conversion_feasible_ecological_mean,conversion_feasible_ecological_sd,conversion_experienced_feasible_mean,conversion_experienced_feasible_sd,conversion_experienced_ecological_mean,conversion_experienced_ecological_sd,choice_entropy_mean,choice_entropy_sd,entropy_over_feasible_max_mean,entropy_over_feasible_max_sd,entropy_over_ecological_max_mean,entropy_over_ecological_max_sd,explore_prop_mean,explore_prop_sd,switching_rate_mean,switching_rate_sd,top_arm_concentration_mean,top_arm_concentration_sd,avg_reward_mean,avg_reward_sd,avg_feasible_time_cost_mean,avg_feasible_time_cost_sd,avg_feasible_money_cost_mean,avg_feasible_money_cost_sd
big_city,egreedy_0.1,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.74,3.748653091444979,17.99,3.1733105741480774,82.01,3.1733105741480774,80.26,3.748653091444979,0.1974,0.03748653091444979,0.9225646606306452,0.11906297869376678,0.1799,0.03173310574148077,0.538313102886589,0.10215027621038346,0.18075551047168362,0.027445597625726365,0.1168932050599315,0.022181650641531273,0.08995,0.015866552870740385,0.16190954773869345,0.030105325911139943,0.91345,0.01693657285285308,0.89925,0.020765054779605097,0.22329166883487944,0.01847363251669922,0.22274683161479675,0.018641847684316808
big_city,egreedy_0.5,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.43,4.106714014878563,19.43,4.106714014878563,80.57,4.106714014878563,80.57,4.106714014878563,0.1943,0.041067140148785625,1.0,0.0,0.1943,0.041067140148785625,0.6099422244201279,0.13617981547845207,0.20548747702294046,0.03465990452761368,0.1324472711727282,0.029571071204447383,0.09715,0.020533570074392812,0.1407035175879397,0.03140603013467285,0.89945,0.025708899237423616,0.9015,0.019576771950451904,0.2274848129841251,0.019089000578732283,0.22660882715552275,0.01851382848650561
big_city,egreedy_0.9,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.19,3.974153998022724,19.19,3.974153998022724,80.81,3.974153998022724,80.81,3.974153998022724,0.19190000000000002,0.03974153998022724,1.0,0.0,0.19190000000000002,0.03974153998022724,0.5795151175213877,0.12939378835248153,0.19549778830719433,0.03062519930441475,0.12584010885952657,0.02809750413701999,0.09595000000000001,0.01987076999011362,0.10522613065326633,0.023567999913735576,0.90655,0.021479001373434475,0.8993,0.019950187969039305,0.22670392770504436,0.01782022663279822,0.2255903496355399,0.018235203289165995
big_city,thompson,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.04,3.6957272626642785,18.76,3.5919910913029836,81.24,3.5919910913029836,80.96,3.6957272626642785,0.1904,0.036957272626642786,0.9864433920284708,0.029164302389908255,0.1876,0.03591991091302983,2.530847298465231,0.25442831342468414,0.8639678872592687,0.04730651444275468,0.5495665081316009,0.05524840628014568,0.0938,0.017959955456514916,0.8498994974874372,0.05012877032002313,0.19755,0.06282712391953017,0.8963,0.022086421167767326,0.22692332891838052,0.016816822382066287,0.227471519073948,0.01536329059477816
big_city,ucb,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,18.52,3.8274795884498194,18.52,3.8274795884498194,81.48,3.8274795884498194,81.48,3.8274795884498194,0.1852,0.0382747958844982,1.0,0.0,0.1852,0.0382747958844982,2.883829004270122,0.21668189969812812,0.99560593754016,0.001963003026638119,0.6262155116535315,0.047051876683605456,0.0926,0.0191373979422491,0.9985427135678392,0.0025912307707243805,0.0695,0.01778341924377874,0.89945,0.02280235733427578,0.22661672880501138,0.01919910051943773,0.22568002536227705,0.01735675739098587
constrained_rural,egreedy_0.1,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.94,1.0278132126023678,1.94,1.0278132126023678,8.06,1.0278132126023678,8.06,1.0278132126023678,0.194,0.10278132126023677,1.0,0.0,0.194,0.10278132126023677,0.031766165849439955,0.03502949017594172,0.033499586116862504,0.033807568046860526,0.013795870539635295,0.01521311428729566,0.0097,0.005139066063011839,0.008994974874371859,0.010007320368008403,0.9948,0.0059966657402259855,0.90045,0.020038650154139633,0.24899678213068882,0.07078874268031837,0.2502123147525233,0.0712581541136149
constrained_rural,egreedy_0.5,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.87,1.0738249391777042,1.87,1.0738249391777042,8.13,1.0738249391777042,8.13,1.0738249391777042,0.187,0.10738249391777041,1.0,0.0,0.187,0.10738249391777041,0.03747260686080001,0.05573525753671097,0.037960752699163595,0.05400141475221212,0.01627414638217538,0.0242055147956502,0.00935,0.005369124695888521,0.007437185929648241,0.009169442997352397,0.9931,0.012037026210821342,0.8994,0.02160185177247545,0.2531663227142755,0.08628775930788261,0.25252221978978484,0.08231322228431212
constrained_rural,egreedy_0.9,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,2.06,1.1029052543169788,2.06,1.1029052543169788,7.94,1.1029052543169788,7.94,1.1029052543169788,0.20600000000000002,0.11029052543169789,1.0,0.0,0.20600000000000002,0.11029052543169789,0.041764904975727005,0.04509411090616892,0.043509883446401464,0.046479286853000484,0.0181382677681719,0.019584123532882407,0.0103,0.005514526271584895,0.00798994974874372,0.00794843994334049,0.99275,0.008699856320652665,0.90005,0.018674782461919084,0.2404541361748843,0.08520643424757546,0.2357697914457429,0.08380000057215405
constrained_rural,thompson,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,2.0,1.1224972160321824,2.0,1.1224972160321824,8.0,1.1224972160321824,8.0,1.1224972160321824,0.2,0.11224972160321824,1.0,0.0,0.2,0.11224972160321824,0.3679653268034109,0.39508969394579196,0.37281888368552,0.36417670749281145,0.15980531096244804,0.17158527393750203,0.01,0.0056124860801609125,0.18477386934673368,0.20290291817065276,0.84225,0.18256283164981857,0.9006500000000001,0.020683991394312668,0.24570353101943987,0.07394511798352406,0.2569932587686156,0.07562228351156387
constrained_rural,ucb,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.87,1.055035544424926,1.87,1.055035544424926,8.13,1.055035544424926,8.13,1.055035544424926,0.187,0.1055035544424926,1.0,0.0,0.187,0.1055035544424926,0.48130606694701883,0.5078717911393461,0.5141988249511433,0.4941083715499117,0.20902856898164734,0.2205659164061388,0.00935,0.00527517772212463,0.3691959798994975,0.3751514294054804,0.71935,0.28081101741206665,0.9027000000000001,0.021370774436131234,0.23872703936946035,0.08509146880056173,0.23701967646257405,0.08507561502508913
